**** Ridge ****

Terrain cut 1


polynomial = 29 
lambda = 7.906043210907669e-12


Parameters with uncertainties
-60436.618347  +/-  1580711.532098
-985624.85437  +/-  1290582.021444
234655.024525  +/-  675642.094441
225126.949417  +/-  1519895.147238
28908.427399  +/-  2192476.260575
614850.539909  +/-  1963078.719921
364034.523135  +/-  1624422.926512
413364.335419  +/-  2025236.893777
207810.011894  +/-  1786199.577019
166310.954742  +/-  1789158.435994
-123701.019882  +/-  2022115.497471
366258.663956  +/-  1613292.765541
515344.985062  +/-  1968339.932867
490758.433136  +/-  2177869.29829
-49422.840851  +/-  1528796.481198
-830672.37854  +/-  644834.253326
22148.566254  +/-  1103140.676163
354688.506981  +/-  1414091.375897
49999.032508  +/-  1337000.46396
427402.957159  +/-  1220899.653486
373304.469606  +/-  1498553.263046
456483.603338  +/-  1696095.19161
77714.978256  +/-  1205608.213153
9352.298477  +/-  1610096.066621
-139581.572876  +/-  1206504.40035
-551899.131836  +/-  1695253.924192
-86294.209625  +/-  1484769.507412
83954.657608  +/-  1220701.619007
684443.770515  +/-  1336664.908506
-16675.40625  +/-  1406078.089836
-76343.634338  +/-  1095666.104226
-177160.530437  +/-  1424887.057202
247983.436489  +/-  1242111.14669
22544.627708  +/-  1609739.226978
42752.388332  +/-  1334135.269349
34812.724792  +/-  1833914.347076
203636.35931  +/-  1526578.824227
-119835.418381  +/-  1447200.959815
-159162.239532  +/-  1447481.279581
-106075.356506  +/-  1449067.712238
-296970.301071  +/-  1448999.884362
-702001.663483  +/-  1528662.644383
-351284.764748  +/-  1831497.627727
-322795.0112  +/-  1339722.007297
549086.801056  +/-  1602683.338234
31962.575745  +/-  1239936.738408
629859.187988  +/-  1429608.081744
-244095.628784  +/-  1072232.308808
21437.936325  +/-  1077410.627081
-16411.68833  +/-  1864408.57473
-236313.047382  +/-  1737155.706036
-297665.933853  +/-  2047006.065917
-105434.592896  +/-  1445737.458614
-324624.035765  +/-  1812060.2102
-294814.484148  +/-  1405787.995886
-133545.708233  +/-  1701982.103878
-38804.471687  +/-  1407124.810359
-193525.993423  +/-  1812566.526908
-521125.539173  +/-  1450726.068335
-359216.334549  +/-  2053421.916004
-551715.819504  +/-  1735253.486935
246108.949646  +/-  1868351.825931
30668.611267  +/-  1092137.058176
857267.100098  +/-  1051040.074978
-144025.035919  +/-  551669.997858
-151180.689423  +/-  1227823.755033
-20169.09042  +/-  1488503.686156
-314898.950468  +/-  1441053.480929
-413360.734746  +/-  1632273.881816
-243674.686386  +/-  1363817.814982
-383722.710278  +/-  1569996.74509
-315454.450706  +/-  1283195.313326
-136627.723335  +/-  1377654.10844
26174.732628  +/-  1378325.945224
126095.634552  +/-  1281011.794956
63573.557968  +/-  1567400.857353
