**** OLS ****

Terrain cut 4


polynomial = 28 
lambda = 0


Parameters with uncertainties
5526.918945  +/-  22230610.974678
78391.822266  +/-  16021252.436471
-4894.842773  +/-  20310053.425545
-231180.619141  +/-  19577518.531255
32321.036621  +/-  25417307.310829
252792.35083  +/-  18861311.802633
116261.704102  +/-  20644420.536979
-43946.407715  +/-  18778765.128574
-278204.298828  +/-  18080841.67999
101588.782471  +/-  17893875.023542
500157.411621  +/-  17184125.730901
-43484.106934  +/-  14608666.866463
-65836.18457  +/-  20490653.975475
-52967.275269  +/-  17833996.3262
140769.005859  +/-  22391696.653471
808503.46582  +/-  26288117.202143
792103.830566  +/-  21748286.870814
527609.774414  +/-  23306549.101515
307134.187988  +/-  16934173.942128
114305.0  +/-  23388902.379016
-39794.333984  +/-  23535015.699465
-99624.236328  +/-  16932926.970981
-127350.768555  +/-  23248922.795594
-166423.181641  +/-  21651550.749398
196482.73877  +/-  26266108.587279
299140.722656  +/-  22392120.668281
167291.36377  +/-  17802843.074717
-5863.109375  +/-  20555456.114995
-148443.581665  +/-  14591704.05849
51072.242798  +/-  17316713.321349
331189.420898  +/-  9069631.216147
-251374.20166  +/-  12671263.258383
80212.700195  +/-  18416606.898071
168192.582397  +/-  10767232.729906
46955.393066  +/-  25791847.650554
496183.03772  +/-  21362371.545932
592858.386719  +/-  19112648.782723
483092.056641  +/-  19946926.741514
393356.317383  +/-  18522310.323239
286756.314453  +/-  16747142.082384
91682.375  +/-  23195985.894876
-105794.187012  +/-  16835908.273911
-163113.431641  +/-  18623331.735653
-113979.230469  +/-  20171230.073883
-69207.68457  +/-  19129552.389938
259880.392822  +/-  21324885.282774
202649.324219  +/-  25863923.232494
121920.321777  +/-  10845683.9692
26037.701294  +/-  18493323.162732
38524.064453  +/-  12632276.317719
-20352.707886  +/-  9127707.336071
-2761.954346  +/-  7727071.26392
-365031.305664  +/-  17066566.774206
198739.21582  +/-  16009608.586765
354678.195374  +/-  12492091.294349
-68675.057129  +/-  27813293.625997
45582.313965  +/-  17795034.185508
114592.230225  +/-  17868039.407232
58106.736084  +/-  11340926.316507
75346.572266  +/-  17136824.381516
178590.769531  +/-  11517743.697058
204098.352539  +/-  15625790.226301
70518.39502  +/-  15565550.635942
-97885.669922  +/-  11589511.91494
-123283.506348  +/-  17111427.985729
-45587.73999  +/-  11132416.677849
-14929.291748  +/-  17829399.713184
204072.010498  +/-  17749808.744416
1237.139648  +/-  27876340.680624
22640.345215  +/-  12566853.635429
41817.086426  +/-  16074565.658023
194827.037598  +/-  17092717.189367
-73496.007812  +/-  7743988.675692
-341247.051758  +/-  17170735.249281
-350284.887695  +/-  20323801.586704
232155.24707  +/-  17486526.077024
449226.614746  +/-  23077542.569023
-143806.776367  +/-  27768271.118161
-328506.708984  +/-  19811298.92714
-320746.280273  +/-  22133463.980511
-428115.639893  +/-  13620878.287184
-434874.76123  +/-  17446397.567202
-221440.617188  +/-  14514387.769509
61038.032837  +/-  13684888.026716
184835.374512  +/-  17002278.285639
92654.418213  +/-  13696546.295707
