**** Lasso ****

Terrain cut 4


polynomial = 26 
lambda = 0.002442053094548645


Parameters with uncertainties
-0.790082  +/-  150453548.93686
1.375014  +/-  293208808.468576
0.373759  +/-  412370549.687469
0.0  +/-  303807779.833848
-0.0  +/-  309832448.608268
-0.363316  +/-  259001488.80337
-0.396  +/-  332420457.116051
-0.28008  +/-  269043655.55141
-0.16624  +/-  290062655.117928
-0.073176  +/-  256263053.471424
-0.007465  +/-  256834781.521945
-0.0  +/-  289817222.258346
-0.0  +/-  268171907.390164
-0.0  +/-  331857015.12874
-0.0  +/-  259752582.710669
-0.0  +/-  309397101.855842
-0.0  +/-  304739303.303188
-0.0  +/-  412585731.736288
0.0  +/-  293298793.087385
0.042125  +/-  150615199.394152
-0.708924  +/-  284511926.815147
1.164022  +/-  405052433.971143
0.347988  +/-  400005431.128383
0.0  +/-  291981405.064611
-0.0  +/-  386767766.929093
-0.239247  +/-  374261948.833929
-0.366252  +/-  310100036.63823
-0.25418  +/-  335516697.861479
-0.143649  +/-  344161191.546573
-0.052853  +/-  314516538.325623
-0.0  +/-  376231128.167485
-0.0  +/-  314890820.65401
-0.0  +/-  344453401.399418
-0.0  +/-  335493711.03704
-0.0  +/-  309972818.574339
-0.0  +/-  373044490.134132
-0.0  +/-  385991790.487349
-0.0  +/-  291747308.46
-0.0  +/-  399344841.170847
0.0  +/-  404506430.49504
0.032788  +/-  285712282.375382
-0.620369  +/-  477421737.620274
0.965945  +/-  464355223.169747
0.317984  +/-  368051892.610432
0.0  +/-  334503291.509119
-0.0  +/-  444808393.415318
-0.132359  +/-  453633418.117988
-0.338437  +/-  293992227.994438
-0.229155  +/-  312026141.281571
-0.121209  +/-  423055050.259032
-0.032257  +/-  428897637.409181
-0.0  +/-  380846083.244963
-0.0  +/-  379681398.683243
-0.0  +/-  428147600.734731
-0.0  +/-  422350422.779889
-0.0  +/-  312297015.027107
-0.0  +/-  293891352.693897
-0.0  +/-  452170235.556082
-0.0  +/-  444280544.153528
-0.0  +/-  334715502.269714
-0.0  +/-  366811740.194374
0.0  +/-  464547406.766312
0.025793  +/-  476917905.558622
-0.533679  +/-  390108295.807882
0.784696  +/-  328926522.283023
0.286381  +/-  338007913.339473
0.0  +/-  330246568.807133
-0.0  +/-  410878408.00442
-0.039264  +/-  391821961.712655
-0.312415  +/-  271918515.717077
-0.20504  +/-  217843224.791935
-0.099041  +/-  297995293.293645
-0.011542  +/-  377793376.476573
-0.0  +/-  352082804.210662
-0.0  +/-  241060709.807637
-0.0  +/-  350823279.233006
-0.0  +/-  377973579.382736
-0.0  +/-  298080567.66017
-0.0  +/-  217695144.351774
-0.0  +/-  271941274.741551
-0.0  +/-  391463516.69735
-0.0  +/-  410673906.691828
-0.0  +/-  330245122.497874
-0.0  +/-  335790069.982167
0.0  +/-  327875052.489794
0.019837  +/-  388529191.86928
-0.453105  +/-  91747577.393322
0.620604  +/-  270443808.465209
0.253848  +/-  424099688.516357
0.0  +/-  293125506.84404
-0.0  +/-  404451365.146909
-0.0  +/-  365480523.427969
-0.246022  +/-  297880321.630413
-0.182537  +/-  247176177.882673
-0.077843  +/-  255546923.139391
-0.0  +/-  232129899.833538
-0.0  +/-  274160735.965694
-0.0  +/-  245555700.611376
-0.0  +/-  245314435.787521
-0.0  +/-  274521456.038016
-0.0  +/-  232248440.40059
-0.0  +/-  255141993.882206
-0.0  +/-  246997429.375963
-0.0  +/-  298244509.05156
-0.0  +/-  365011074.759303
-0.0  +/-  404689173.633734
-0.0  +/-  293290174.260892
-0.0  +/-  423873709.768127
0.0  +/-  270527776.644733
0.015761  +/-  92210537.965558
-0.377078  +/-  476236665.987799
0.475375  +/-  548191523.24262
0.222009  +/-  563015199.963003
0.0  +/-  312106192.064953
-0.0  +/-  488220356.47251
-0.0  +/-  548418880.723993
-0.152065  +/-  456655625.378088
-0.161708  +/-  339869860.602445
-0.057776  +/-  408787107.201021
-0.0  +/-  420116014.78518
-0.0  +/-  392166344.825926
-0.0  +/-  396748341.963115
-0.0  +/-  390447611.054891
-0.0  +/-  395904671.101127
-0.0  +/-  392400471.49748
-0.0  +/-  419752943.233989
-0.0  +/-  409284870.754287
0.0  +/-  340152333.68561
-0.0  +/-  455855169.726329
-0.0  +/-  548141271.783711
-0.0  +/-  487796621.952724
-0.0  +/-  311591061.53485
-0.0  +/-  561026053.854106
0.0  +/-  548218164.902897
0.013001  +/-  476894299.606162
-0.307189  +/-  554486573.43464
0.349596  +/-  494718585.17235
0.192168  +/-  419075118.943131
0.0  +/-  295592070.778939
-0.0  +/-  450757283.784324
-0.0  +/-  593860002.093122
-0.068961  +/-  512095733.588024
-0.142228  +/-  357625130.995696
-0.038653  +/-  361024204.422766
-0.0  +/-  441942496.03552
-0.0  +/-  426101659.818629
-0.0  +/-  457009210.687164
