**** Lasso ****

Terrain cut 1


polynomial = 30 
lambda = 0.00025595479226995333


Parameters with uncertainties
-0.036612  +/-  1e-06
-0.094285  +/-  1e-06
-0.09488  +/-  1e-06
-0.092503  +/-  1e-06
-0.085816  +/-  1e-06
-0.072524  +/-  1e-06
-0.048978  +/-  1e-06
-0.009798  +/-  1e-06
-0.0  +/-  2e-06
0.0  +/-  1e-06
0.159072  +/-  1e-06
0.0  +/-  1e-06
-0.013287  +/-  1e-06
0.044553  +/-  1e-06
0.150028  +/-  1e-06
0.068761  +/-  2e-06
0.01604  +/-  1e-06
0.0  +/-  2e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
-0.0  +/-  1e-06
-0.0  +/-  1e-06
-0.001115  +/-  1e-06
-0.087062  +/-  1e-06
-0.08872  +/-  1e-06
-0.087698  +/-  1e-06
-0.082643  +/-  1e-06
-0.071276  +/-  1e-06
-0.049972  +/-  2e-06
-0.013332  +/-  1e-06
-0.0  +/-  2e-06
0.0  +/-  1e-06
0.140008  +/-  1e-06
0.0  +/-  1e-06
-0.041914  +/-  1e-06
0.019747  +/-  1e-06
0.155675  +/-  1e-06
0.083334  +/-  1e-06
0.033663  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
-0.0  +/-  1e-06
-0.0  +/-  1e-06
-0.0  +/-  1e-06
-0.047987  +/-  1e-06
-0.083648  +/-  1e-06
-0.083667  +/-  1e-06
-0.079918  +/-  1e-06
-0.070145  +/-  1e-06
-0.050753  +/-  1e-06
-0.016341  +/-  1e-06
-0.0  +/-  1e-06
0.0  +/-  1e-06
0.122857  +/-  1e-06
0.0  +/-  0.0
-0.047315  +/-  1e-06
0.0  +/-  1e-06
0.134013  +/-  1e-06
0.09225  +/-  1e-06
0.04693  +/-  1e-06
0.014898  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
-0.0  +/-  1e-06
-0.0  +/-  1e-06
-0.015435  +/-  1e-06
-0.07889  +/-  1e-06
-0.079746  +/-  1e-06
-0.077072  +/-  1e-06
-0.068642  +/-  1e-06
-0.050897  +/-  1e-06
-0.018443  +/-  1e-06
-0.0  +/-  1e-06
0.0  +/-  1e-06
0.108602  +/-  1e-06
0.0  +/-  1e-06
-0.044514  +/-  1e-06
0.0  +/-  1e-06
0.07895  +/-  1e-06
0.097735  +/-  1e-06
0.057097  +/-  1e-06
0.027249  +/-  1e-06
0.005175  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
-0.0  +/-  1e-06
-0.0  +/-  1e-06
-0.0  +/-  1e-06
-0.054331  +/-  1e-06
-0.076253  +/-  1e-06
-0.074459  +/-  1e-06
-0.067152  +/-  1e-06
-0.050813  +/-  1e-06
-0.02006  +/-  1e-06
-0.0  +/-  1e-06
0.0  +/-  1e-06
0.096443  +/-  1e-06
0.0  +/-  1e-06
-0.038387  +/-  1e-06
0.0  +/-  1e-06
0.023575  +/-  1e-06
0.100091  +/-  2e-06
0.064141  +/-  1e-06
0.036724  +/-  1e-06
0.01594  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
-0.0  +/-  1e-06
-0.0  +/-  1e-06
-0.0  +/-  1e-06
-0.018017  +/-  1e-06
-0.073251  +/-  1e-06
-0.072172  +/-  1e-06
-0.065801  +/-  1e-06
-0.050657  +/-  1e-06
-0.021378  +/-  1e-06
-0.0  +/-  2e-06
0.0  +/-  1e-06
0.085897  +/-  1e-06
0.0  +/-  1e-06
-0.030006  +/-  1e-06
-0.0  +/-  1e-06
0.0  +/-  1e-06
0.067962  +/-  2e-06
0.069243  +/-  1e-06
0.04417  +/-  1e-06
0.024738  +/-  1e-06
0.009431  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
-0.0  +/-  1e-06
-0.0  +/-  1e-06
-0.0  +/-  1e-06
-0.058313  +/-  1e-06
-0.070089  +/-  1e-06
-0.064505  +/-  1e-06
-0.050386  +/-  1e-06
-0.022389  +/-  1e-06
-0.0  +/-  2e-06
0.0  +/-  1e-06
0.076883  +/-  1e-06
0.000995  +/-  1e-06
-0.022751  +/-  1e-06
-0.0  +/-  1e-06
0.0  +/-  2e-06
0.013179  +/-  1e-06
0.072788  +/-  1e-06
0.049866  +/-  1e-06
0.031758  +/-  1e-06
0.017305  +/-  1e-06
0.005473  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
0.0  +/-  1e-06
-0.0  +/-  1e-06
-0.0  +/-  1e-06
-0.0  +/-  1e-06
-0.029507  +/-  1e-06
-0.06842  +/-  1e-06
-0.063517  +/-  1e-06
-0.050299  +/-  1e-06
-0.023448  +/-  1e-06
-0.0  +/-  1e-06
