**** Lasso ****

Terrain cut 4


polynomial = 26 
lambda = 0.0011513953993264434


Parameters with uncertainties
-0.151861  +/-  3e-06
-0.046585  +/-  3e-06
-0.0  +/-  4e-06
-0.0  +/-  3e-06
-0.0  +/-  3e-06
-0.0  +/-  3e-06
-0.0  +/-  3e-06
-0.0  +/-  4e-06
-0.0  +/-  4e-06
-0.0  +/-  3e-06
-0.0  +/-  4e-06
0.0  +/-  4e-06
0.026862  +/-  3e-06
-0.454528  +/-  4e-06
0.637695  +/-  4e-06
0.336632  +/-  3e-06
0.0  +/-  3e-06
-0.0  +/-  4e-06
-0.0  +/-  4e-06
-0.280954  +/-  3e-06
-0.262275  +/-  3e-06
-0.135668  +/-  4e-06
-0.031854  +/-  4e-06
-0.0  +/-  4e-06
-0.0  +/-  4e-06
-0.0  +/-  4e-06
-0.0  +/-  4e-06
-0.0  +/-  3e-06
-0.0  +/-  3e-06
-0.0  +/-  4e-06
-0.0  +/-  4e-06
-0.0  +/-  3e-06
-0.0  +/-  3e-06
0.0  +/-  4e-06
0.02057  +/-  4e-06
-0.388993  +/-  4e-06
0.494939  +/-  3e-06
0.317265  +/-  3e-06
0.0  +/-  3e-06
-0.0  +/-  4e-06
-0.0  +/-  4e-06
-0.174807  +/-  3e-06
-0.244189  +/-  2e-06
-0.119457  +/-  3e-06
-0.016877  +/-  4e-06
-0.0  +/-  3e-06
-0.0  +/-  2e-06
-0.0  +/-  3e-06
-0.0  +/-  4e-06
-0.0  +/-  3e-06
-0.0  +/-  2e-06
-0.0  +/-  3e-06
-0.0  +/-  4e-06
-0.0  +/-  4e-06
-0.0  +/-  3e-06
-0.0  +/-  3e-06
0.0  +/-  3e-06
0.015812  +/-  4e-06
-0.326702  +/-  1e-06
0.36533  +/-  3e-06
0.295734  +/-  4e-06
0.0  +/-  3e-06
-0.0  +/-  4e-06
-0.0  +/-  3e-06
-0.083682  +/-  3e-06
-0.226942  +/-  2e-06
-0.103563  +/-  2e-06
-0.00193  +/-  2e-06
-0.0  +/-  3e-06
-0.0  +/-  2e-06
-0.0  +/-  2e-06
-0.0  +/-  3e-06
-0.0  +/-  2e-06
-0.0  +/-  2e-06
-0.0  +/-  2e-06
-0.0  +/-  3e-06
-0.0  +/-  3e-06
-0.0  +/-  4e-06
-0.0  +/-  3e-06
-0.0  +/-  4e-06
0.0  +/-  3e-06
0.012232  +/-  1e-06
-0.268611  +/-  4e-06
0.249416  +/-  5e-06
0.272979  +/-  5e-06
0.0  +/-  3e-06
0.0  +/-  5e-06
-0.0  +/-  5e-06
-0.006568  +/-  4e-06
-0.210776  +/-  3e-06
-0.088266  +/-  4e-06
-0.0  +/-  4e-06
-0.0  +/-  4e-06
-0.0  +/-  4e-06
-0.0  +/-  4e-06
-0.0  +/-  4e-06
-0.0  +/-  4e-06
-0.0  +/-  4e-06
0.0  +/-  4e-06
0.0  +/-  3e-06
0.0  +/-  4e-06
0.0  +/-  5e-06
