**** Lasso ****

Terrain cut 1


polynomial = 30 
lambda = 5.689866029018282e-05


Parameters with uncertainties
-0.100647  +/-  3845765361.817958
-0.090364  +/-  3335230845.048981
-0.075831  +/-  3907273448.16779
-0.055432  +/-  3429289576.904286
-0.026812  +/-  4392018249.718244
0.0  +/-  4724645441.220367
0.060669  +/-  3849673135.140548
0.126401  +/-  2826883191.048125
0.151899  +/-  3151872173.646684
-0.02988  +/-  2243595981.757827
-0.014676  +/-  2987973429.440662
0.304434  +/-  3352264530.236592
0.090253  +/-  2951626179.652472
0.0  +/-  4700794801.930914
-0.038656  +/-  4047428712.667074
-0.07743  +/-  4171753104.862881
-0.090941  +/-  2684254271.196694
-0.097554  +/-  3663565993.229933
-0.099838  +/-  3103740438.925528
-0.09897  +/-  3014584506.671966
-0.09526  +/-  2973151370.457572
-0.088368  +/-  2924841866.837566
-0.077337  +/-  3827529915.957934
-0.060528  +/-  2565003553.834268
-0.03554  +/-  4142453960.066236
-0.0  +/-  4038407405.100872
0.033902  +/-  4696900387.506927
0.110976  +/-  2949937448.962392
0.141645  +/-  3248727260.315202
-0.021789  +/-  2942298500.175214
-0.08346  +/-  4041757628.734336
0.320105  +/-  2947770881.7255
0.130734  +/-  4091501819.082152
0.035088  +/-  5284337629.574687
-0.0  +/-  4358622454.436042
-0.044412  +/-  4569872109.130015
-0.066725  +/-  3204991966.683775
-0.078345  +/-  3550187118.882212
-0.085375  +/-  3227968049.866361
-0.089231  +/-  2903577957.828346
-0.090538  +/-  3214638144.278914
-0.08935  +/-  2903998950.565668
-0.085215  +/-  3264587901.356508
-0.077141  +/-  3559600406.814815
-0.063481  +/-  3169635531.188116
-0.041802  +/-  4582940192.246993
-0.008939  +/-  4357678630.905394
0.020147  +/-  5278011031.498617
0.097279  +/-  4111672976.580584
0.131702  +/-  3100619416.071666
-0.015565  +/-  4075432444.971941
-0.128554  +/-  3081849043.845278
0.300814  +/-  2905088528.949852
0.154735  +/-  4405056045.656657
0.067146  +/-  4755628449.907316
0.013419  +/-  4495045155.224056
-0.0  +/-  4765347601.368986
-0.036205  +/-  4158891106.027647
-0.056614  +/-  3584493397.646707
-0.067148  +/-  3472432292.99996
-0.074531  +/-  3361704802.596614
-0.07955  +/-  3636109521.716048
-0.082509  +/-  3642723590.25521
-0.083302  +/-  3387619264.974254
-0.081412  +/-  3484563769.643112
-0.07583  +/-  3571075047.648379
-0.064914  +/-  4084316923.465106
-0.046221  +/-  4769097691.873134
-0.016492  +/-  4499406622.89112
0.00905  +/-  4773346954.196445
0.085207  +/-  4427482283.581887
0.122273  +/-  2732964140.957865
-0.010769  +/-  3372360879.559886
-0.151691  +/-  2216855696.523744
0.256027  +/-  2879732966.528064
0.164022  +/-  3792753149.021921
0.090352  +/-  3639521188.85555
0.039974  +/-  4141411253.060683
0.005566  +/-  4162177315.233154
-0.0  +/-  4192739190.698709
-0.022962  +/-  3264125587.72024
-0.047403  +/-  3160750059.839512
-0.057264  +/-  3244771759.703319
-0.064912  +/-  3502766184.273856
-0.070782  +/-  3236667345.031394
-0.074988  +/-  3455620019.313382
-0.077331  +/-  3228394631.226252
-0.077259  +/-  3117938361.67607
-0.073764  +/-  3401508397.263564
-0.065222  +/-  4174123253.402146
-0.049197  +/-  4198770007.313142
-0.022373  +/-  4151874740.027148
0.0  +/-  3572021659.101844
0.074386  +/-  3785425402.310077
0.11347  +/-  2841050904.351962
-0.007064  +/-  1519491402.249628
-0.156462  +/-  2226316126.229794
0.194949  +/-  3572344643.482176
0.161133  +/-  2877268312.269202
0.104983  +/-  3350900434.62774
0.060654  +/-  4089474674.269378
0.027884  +/-  3600042786.141247
0.003629  +/-  3588117207.471748
0.0  +/-  2925759506.264716
-0.008639  +/-  2679269740.062032
-0.039262  +/-  2543542137.888082
-0.048639  +/-  3005389656.588964
-0.056443  +/-  2544324372.231036
-0.06291  +/-  2512610180.401704
-0.06804  +/-  2935585579.388478
-0.071582  +/-  2575438628.22319
-0.07297  +/-  2730994030.360217
-0.07121  +/-  2877889453.757157
-0.064707  +/-  3636022561.107066
-0.051049  +/-  3590732416.985753
-0.026889  +/-  4093975495.162641
0.0  +/-  3356725303.816058
0.05846  +/-  2877673536.77896
0.10553  +/-  3531867581.736944
-0.004081  +/-  2241821707.056441
-0.147081  +/-  3610976847.941741
0.125582  +/-  3888647612.166807
0.148717  +/-  2906230089.174469
0.111729  +/-  4438935796.892424
0.075233  +/-  4480150352.956543
0.045618  +/-  4031463209.776138
0.022384  +/-  3722595762.114854
0.00406  +/-  3060330133.442204
0.0  +/-  3264167341.823828
-0.0  +/-  2547888825.973686
-0.027332  +/-  2895222966.626152
-0.04126  +/-  2862287263.083463
-0.049105  +/-  2301632495.501636
-0.055953  +/-  2865373967.794338
-0.061739  +/-  2874333978.885638
-0.066185  +/-  2552698591.204704
-0.068726  +/-  3245479788.215452
-0.068389  +/-  3072547105.11979
-0.063617  +/-  3673876566.490696
-0.052031  +/-  4044629038.88018
-0.030277  +/-  4485521084.776746
-0.0  +/-  4443630464.832852
0.044936  +/-  2780775978.914466
0.098299  +/-  3799727832.302066
-0.001736  +/-  3776043221.096872
-0.12719  +/-  4104893744.995356
0.05499  +/-  2897205209.523126
0.129689  +/-  3431071269.567106
0.111835  +/-  5185057388.506071
0.084092  +/-  4230942362.689888
0.058665  +/-  4417654405.829208
0.037392  +/-  4241788514.649533
0.019877  +/-  3625472067.062888
0.005333  +/-  4007828978.401544
0.0  +/-  3274737279.83712
-0.0  +/-  3071597065.67253
-0.009222  +/-  3580930454.003756
-0.034995  +/-  3402204097.052956
-0.042781  +/-  3272313039.926358
-0.04984  +/-  3580993920.302392
-0.056071  +/-  3090942909.735276
-0.061185  +/-  3247846520.065248
-0.064626  +/-  4017859937.201442
-0.065451  +/-  3600619683.629265
-0.062142  +/-  4228933645.668606
-0.052365  +/-  4409003598.043268
-0.032778  +/-  4234108003.811106
-0.0  +/-  5193974539.88661
0.033411  +/-  3596945213.354223
0.091707  +/-  2980810012.282394
-0.0  +/-  3801934712.077534
-0.100857  +/-  1837638462.495711
-0.001621  +/-  2012324832.992785
0.094616  +/-  4350550079.42987
0.107207  +/-  5038198820.602438
0.088268  +/-  2761977114.84805
0.06752  +/-  3798290124.600884
0.048797  +/-  4119966288.532738
0.032663  +/-  3356872791.862373
0.018837  +/-  3835805157.126148
0.006865  +/-  3257110040.955264
0.0  +/-  2519222744.926654
0.0  +/-  3245575909.865859
-0.0  +/-  3480283680.694758
-0.023104  +/-  3299977482.358322
-0.037294  +/-  3336694075.130719
-0.044438  +/-  3269220830.378003
-0.050953  +/-  2520403011.376794
-0.056548  +/-  3246670859.778715
-0.060687  +/-  3856185420.216783
-0.062456  +/-  3355596312.767681
-0.060384  +/-  4116578448.020996
-0.052185  +/-  3794959891.776096
-0.034545  +/-  2758527950.675422
-0.003471  +/-  5034486837.639491
0.026591  +/-  4337556153.773252
0.085638  +/-  2166865817.975113
-0.0  +/-  2149213436.913329
-0.072696  +/-  1866959698.909462
