**** Ridge ****

Terrain cut 4


polynomial = 28 
lambda = 3.727593720314938e-12


Parameters with uncertainties
126532.347168  +/-  577078.553289
176277.386719  +/-  554189.095613
165823.865234  +/-  471130.391247
270429.822266  +/-  660824.831768
327260.808594  +/-  575147.461673
327587.626953  +/-  722133.573274
727967.101562  +/-  847793.371963
752763.932617  +/-  701383.568813
404903.375  +/-  751637.620133
172811.394531  +/-  546128.135287
80366.978149  +/-  754293.51832
1054.415039  +/-  759005.681754
-116597.227539  +/-  546087.920392
-229912.952148  +/-  749779.168277
-219317.857422  +/-  698263.823039
171611.746094  +/-  847083.592801
196273.570312  +/-  722147.247777
92489.625  +/-  574142.767425
31814.95166  +/-  662914.704692
-153206.209473  +/-  470583.339663
120251.193359  +/-  558465.053436
117629.09375  +/-  292496.156042
-88178.975586  +/-  408649.007544
405399.609375  +/-  593936.687902
520656.480469  +/-  347243.907679
260099.427734  +/-  831788.648867
521629.214844  +/-  688937.776212
665894.033203  +/-  616384.08084
407067.505859  +/-  643289.59554
214141.993164  +/-  597345.629766
137568.030273  +/-  540096.346482
32926.739014  +/-  748071.950022
-125545.256348  +/-  542959.061535
-244591.227539  +/-  600603.576435
-282673.818359  +/-  650523.391595
-176599.752441  +/-  616929.223196
229281.589355  +/-  687728.841955
116533.755859  +/-  834113.09075
10462.662109  +/-  349773.964898
16982.938477  +/-  596410.792084
59119.405273  +/-  407391.676346
60600.949219  +/-  294369.114427
19474.82959  +/-  249198.516267
-330418.580933  +/-  550397.81214
335122.875977  +/-  516310.846578
482437.277344  +/-  402870.700852
3074.913086  +/-  896980.404008
74814.998047  +/-  573890.930275
272699.628906  +/-  576245.353098
94813.198242  +/-  365745.560594
-13588.305664  +/-  552663.624231
54065.148438  +/-  371447.931826
96985.236328  +/-  503932.681206
6657.460938  +/-  501989.950769
-134803.867981  +/-  373762.461199
-203343.274902  +/-  551844.588929
-190948.763184  +/-  359021.112118
-94536.223633  +/-  574999.220624
223925.973389  +/-  572432.407061
-24493.991211  +/-  899013.675338
-81637.09375  +/-  405281.79088
2451.993896  +/-  518405.71606
220871.421875  +/-  551241.164613
-45955.946655  +/-  249744.103822
-86983.646484  +/-  553757.25177
-450441.591797  +/-  655443.832124
117071.714355  +/-  563941.525091
277654.414062  +/-  744252.14559
-285506.564453  +/-  895528.425403
-388075.833374  +/-  638915.590312
-169807.353027  +/-  713805.55393
-324646.245117  +/-  439274.149738
-398135.40625  +/-  562647.378219
-209910.727539  +/-  468089.88466
38089.490723  +/-  441338.467715
129007.643066  +/-  548324.50449
52524.315918  +/-  441714.447596
-42514.119507  +/-  468615.181137
-53731.849365  +/-  562596.588664
-47379.724121  +/-  439564.050408
-33732.793945  +/-  713558.856589
171411.258789  +/-  640597.584367
-164912.880371  +/-  896474.481586
-137493.566406  +/-  745129.653504
-8635.414551  +/-  563432.077636
283809.730469  +/-  653386.06868
-134496.64502  +/-  552206.000688
-142323.714844  +/-  628456.632338
-366092.449219  +/-  544198.19394
-125024.935547  +/-  613176.975677
24102.207031  +/-  970400.27438
-456502.890625  +/-  813518.75071
-662322.310547  +/-  728477.332766
-410644.828125  +/-  749697.875042
-559742.90332  +/-  660290.847601
-677317.509766  +/-  670308.811364
-487874.88916  +/-  611643.328766
-135921.255371  +/-  515221.246846
123209.638916  +/-  629204.036666
181342.650452  +/-  630552.39912
111721.799072  +/-  514665.138786
67855.014648  +/-  612131.660864
95369.618896  +/-  671511.888362
71870.633301  +/-  657114.276603
-16683.962891  +/-  748490.514023
100985.047852  +/-  727778.786575
-248863.872559  +/-  813358.471551
-125669.826172  +/-  970565.221842
-12454.745117  +/-  614007.248036
218280.108643  +/-  543432.281464
-160922.13916  +/-  632443.457655
-117406.257812  +/-  370095.047667
-74942.100098  +/-  303673.528005
-282993.759766  +/-  602285.298043
-157380.296875  +/-  958023.130231
-396623.625  +/-  632141.738028
-616353.363281  +/-  759192.613943
-277736.328125  +/-  575282.305469
-399298.675781  +/-  613206.003891
-602727.637695  +/-  591397.088141
-537463.941406  +/-  579922.09004
-252583.560547  +/-  451006.086103
41557.3479  +/-  485978.796038
184333.009033  +/-  574218.64853
160849.625  +/-  488186.246563
88496.631348  +/-  446332.141143
100504.25  +/-  581431.077792
169429.933838  +/-  588943.528859
124152.825684  +/-  610834.147288
-30779.15625  +/-  575676.030514
61288.294434  +/-  759041.654427
-238925.096191  +/-  633603.79469
-40390.762695  +/-  958905.598611
-2924.184082  +/-  604858.667306
42709.854004  +/-  300676.916898
-89082.127441  +/-  369330.068457
-18293.145996  +/-  231244.504223
330358.895264  +/-  526528.308691
-277909.945312  +/-  673516.703695
-203725.085938  +/-  779737.016908
-82102.399414  +/-  448623.666917
-278982.879883  +/-  800734.614281
183071.614258  +/-  507551.851594
151024.191406  +/-  520327.208808
-112903.922852  +/-  354718.045407
-221905.75293  +/-  394652.620401
-129588.702148  +/-  362015.461519
35005.405762  +/-  280875.141592
131474.403809  +/-  335382.8352
105194.817383  +/-  335727.286054
5992.111328  +/-  281930.670971
-46898.330566  +/-  361525.177229
29081.189453  +/-  395141.79406
151774.716309  +/-  356077.164144
105372.680664  +/-  519684.591021
-68430.162842  +/-  510060.703142
66508.708496  +/-  800578.104562
-137673.843018  +/-  449493.794343
87674.258789  +/-  778367.609869
12637.717285  +/-  674631.781855
-164725.723145  +/-  527877.055764
44524.418701  +/-  229553.064273
108669.175781  +/-  715358.212736
617283.615234  +/-  831063.111103
-108554.325195  +/-  787843.873678
-126859.080078  +/-  674935.566294
364703.816406  +/-  535915.535824
131126.152344  +/-  847898.08697
686478.001953  +/-  778818.502476
784483.429688  +/-  722810.584451
546422.10791  +/-  599948.384982
322221.201172  +/-  550753.951427
211028.072754  +/-  572253.842297
174384.352539  +/-  537612.773062
135797.735046  +/-  528543.821782
44762.61377  +/-  567037.41583
-92001.724121  +/-  528248.069094
-222840.191895  +/-  538994.88724
-235975.623779  +/-  570512.577092
-94459.419922  +/-  550588.199583
