**** OLS ****

Terrain cut 1


polynomial = 28 
lambda = 0


Parameters with uncertainties
118742.25502  +/-  384357.70776
-279460.815372  +/-  326752.364255
-102905.295059  +/-  458314.895727
-115538.772963  +/-  398893.377265
215223.009311  +/-  500835.557966
334125.981834  +/-  587986.879715
156761.981384  +/-  486444.397596
-18337.85611  +/-  521298.082238
-128071.76355  +/-  378767.030755
-86237.875969  +/-  523140.079757
94798.54837  +/-  526408.199521
331707.186481  +/-  378739.139724
509062.297318  +/-  520009.153421
521721.555695  +/-  484280.698699
483869.707977  +/-  587494.612556
449809.770386  +/-  500845.041914
-268371.994789  +/-  398196.571823
-522950.679459  +/-  459764.326568
-225412.797306  +/-  326372.956766
199357.527588  +/-  387323.297232
78699.495781  +/-  202860.635394
-150443.189804  +/-  283418.416315
-15026.220833  +/-  411924.640387
-8004.658994  +/-  240830.924761
252524.527439  +/-  576886.808041
266043.852242  +/-  477812.62127
198657.735992  +/-  427493.024108
108159.108109  +/-  446153.337056
17999.732697  +/-  414288.911158
25945.646362  +/-  374583.685148
93956.853729  +/-  518825.112631
176840.88226  +/-  376569.120452
293038.24498  +/-  416548.45925
421727.832001  +/-  451170.334488
445051.2108  +/-  427871.107452
410468.552948  +/-  476974.16522
471012.400494  +/-  578498.924123
-72664.01935  +/-  242585.645308
-461559.739456  +/-  413640.554719
37202.68911  +/-  282546.39458
15862.333496  +/-  204159.625211
-3291.222212  +/-  172831.568228
34509.62294  +/-  381728.264061
85164.765726  +/-  358087.257677
80945.466839  +/-  279410.873164
195383.706711  +/-  622100.533408
64592.122147  +/-  398021.910231
90041.040092  +/-  399654.819586
93602.836433  +/-  253662.741483
72121.850967  +/-  383299.717467
126111.841827  +/-  257617.619616
178804.965927  +/-  349502.384199
128385.768246  +/-  348155.003993
18174.251678  +/-  259222.86088
-4549.088669  +/-  382731.675739
94006.311495  +/-  248999.001936
149400.704048  +/-  398790.564723
150542.69735  +/-  397010.351822
370428.901138  +/-  623510.708228
149800.445679  +/-  281083.084046
-223918.701508  +/-  359540.153879
292811.151283  +/-  382313.170957
-191080.449532  +/-  173209.960339
-88216.190346  +/-  384058.202571
186258.665878  +/-  454582.904779
150495.50528  +/-  391121.50277
132588.224445  +/-  516175.888228
99471.720795  +/-  621093.514013
-173174.996361  +/-  443119.746831
-77819.08846  +/-  495059.662247
-15988.801765  +/-  304658.475975
-6111.779289  +/-  390223.947532
104913.065586  +/-  324643.621677
221600.699329  +/-  306090.183188
177795.229691  +/-  380290.322063
-53460.630325  +/-  306350.94394
-306948.533211  +/-  325007.940916
-384107.359322  +/-  390188.722449
-263368.53302  +/-  304859.536512
-168264.80019  +/-  494888.565367
-151856.193222  +/-  444286.293384
205615.822037  +/-  621749.65104
333080.37117  +/-  516784.483621
55159.973785  +/-  390768.175615
423050.147026  +/-  453155.743461
-324782.242004  +/-  382982.332774
-125172.130173  +/-  435865.939161
235261.690151  +/-  377428.52042
132940.499619  +/-  425268.737129
136706.175486  +/-  673020.866024
13255.563309  +/-  564215.724773
-349372.378773  +/-  505235.270765
-181977.784698  +/-  519952.772519
-105910.324615  +/-  457944.551143
-127734.771805  +/-  464892.507389
-26425.237724  +/-  424205.0767
140359.305588  +/-  357331.566057
181178.3526  +/-  436384.301244
7250.160782  +/-  437319.457685
-302420.523544  +/-  356945.877452
-552608.047058  +/-  424543.759304
-583103.600433  +/-  465726.901138
-423670.970642  +/-  455741.441127
-336438.85128  +/-  519115.407588
-378376.419571  +/-  504750.79423
18622.526001  +/-  564104.563202
412702.406555  +/-  673135.265294
252739.949318  +/-  425844.572315
352059.497238  +/-  376897.322015
-316159.044922  +/-  438631.000855
-94408.446358  +/-  256679.327148
155917.343255  +/-  210612.698906
33669.135475  +/-  417714.816848
88510.500507  +/-  664436.700814
-25607.953888  +/-  438421.743284
-396721.042345  +/-  526537.846293
-138052.62792  +/-  398986.898146
-64791.043015  +/-  425288.86964
-170453.63414  +/-  410163.301612
-151682.997772  +/-  402204.819567
-12954.474159  +/-  312795.157488
78262.521942  +/-  337050.47166
24111.225891  +/-  398249.199144
-150747.827209  +/-  338581.448416
-356048.929981  +/-  309553.544137
-477460.143555  +/-  403251.377643
-428883.359756  +/-  408461.636189
-270329.421844  +/-  423643.86909
-269227.874979  +/-  399259.966052
-464445.081497  +/-  526433.148359
-162118.856979  +/-  439435.752314
344255.369217  +/-  665048.736537
285034.704151  +/-  419499.576453
83201.263949  +/-  208534.400027
-124635.228729  +/-  256148.77601
11135.771801  +/-  160379.567694
-13364.254967  +/-  365173.575953
-115810.436333  +/-  467117.340308
2451.139404  +/-  540786.411798
-10836.486935  +/-  311142.831261
-313691.898708  +/-  555349.29017
57652.417992  +/-  352012.45891
126296.090149  +/-  360872.80469
-73061.406525  +/-  246014.611101
-162504.617792  +/-  273711.225536
-108111.054756  +/-  251075.732209
-47635.063689  +/-  194800.883748
-47752.601894  +/-  232604.680929
-69338.296028  +/-  232843.574732
-72299.322405  +/-  195532.945883
-58085.014633  +/-  250735.695663
-29086.170097  +/-  274050.491803
41067.847679  +/-  246957.227559
121013.459732  +/-  360427.117286
-12692.069336  +/-  353752.47227
-402494.337208  +/-  555240.742894
-301208.000046  +/-  311746.307918
132639.492373  +/-  539836.659891
139325.8895  +/-  467890.702485
-279628.271133  +/-  366108.999146
172612.170952  +/-  159206.469943
125805.997551  +/-  496136.50837
-181117.619507  +/-  576383.611507
-226885.193535  +/-  546408.920271
-88003.208481  +/-  468101.392106
43909.442253  +/-  371684.084968
-160997.704317  +/-  588059.504782
307924.958893  +/-  540149.376345
361507.61661  +/-  501305.098897
96413.091158  +/-  416094.051383
-52926.908432  +/-  381975.264375
-53682.530457  +/-  396886.508276
-57806.077988  +/-  372861.203427
-108065.801186  +/-  366571.43455
-105303.699104  +/-  393268.657012
34370.982506  +/-  366366.315347
268840.706009  +/-  373819.768368
462401.227625  +/-  395678.85423
531394.289375  +/-  381860.307225
523501.224243  +/-  413887.119638
497961.316238  +/-  502286.002537
285365.153595  +/-  541258.095113
-221019.880764  +/-  588964.263894
-340458.378605  +/-  371442.320814
-135703.396072  +/-  468670.919403
-90443.601395  +/-  547985.485336
-529376.605515  +/-  576455.503146
424003.584412  +/-  496113.543324
138296.846176  +/-  460657.467486
-196080.136086  +/-  397028.038242
-157664.772491  +/-  383504.555012
-124603.561371  +/-  536571.57842
109932.776154  +/-  564341.548052
-64873.501637  +/-  507079.236163
407641.706543  +/-  596664.312721
396344.890591  +/-  459412.85416
102358.323784  +/-  512312.077718
7098.698578  +/-  474524.930091
93982.70874  +/-  473669.283683
118799.111954  +/-  449743.019591
-4069.323471  +/-  404963.408417
-130615.934929  +/-  498642.818749
-77177.133911  +/-  497763.401697
195473.849037  +/-  406190.559898
524349.816578  +/-  450555.362813
690030.008133  +/-  475179.585459
618279.007446  +/-  473240.152337
474109.819473  +/-  511682.799223
445114.214218  +/-  458719.139752
398753.506668  +/-  594988.096718
43638.870607  +/-  506855.307119
-175338.485256  +/-  565191.656414
-288924.994141  +/-  537752.86039
-203745.678841  +/-  385375.363359
-376227.202644  +/-  396588.749778
353562.639221  +/-  463416.246663
-125279.878197  +/-  501205.85103
149331.939137  +/-  633185.950214
272601.192532  +/-  800004.908731
-23256.371033  +/-  1135642.367658
152273.45446  +/-  1053346.042591
-189434.699032  +/-  517614.184195
70425.325596  +/-  689796.917852
-143799.993279  +/-  587355.484776
-467816.50341  +/-  743956.111289
-359536.044029  +/-  517202.398704
